iter	Passed	Remaining
915	2743	251
916	2746	248
917	2749	245
918	2751	242
919	2756	239
920	2759	236
921	2762	233
922	2764	230
923	2766	227
924	2767	224
925	2770	221
926	2772	218
927	2776	215
928	2778	212
929	2780	209
930	2782	206
931	2783	203
932	2785	200
933	2786	196
934	2791	194
935	2792	190
936	2794	187
937	2796	184
938	2797	181
939	2799	178
940	2800	175
941	2806	172
942	2807	169
943	2809	166
944	2810	163
945	2812	160
946	2814	157
947	2820	154
948	2823	151
949	2824	148
950	2826	145
951	2827	142
952	2828	139
953	2839	136
954	2841	133
955	2843	130
956	2849	128
957	2851	125
958	2853	121
959	2855	118
960	2856	115
961	2858	112
962	2860	109
963	2866	107
964	2868	104
965	2870	101
966	2872	98
967	2874	95
968	2878	92
969	2880	89
970	2882	86
971	2884	83
972	2885	80
973	2887	77
974	2906	74
975	2909	71
976	2911	68
977	2913	65
978	2915	62
979	2917	59
980	2922	56
981	2924	53
982	2926	50
983	2928	47
984	2930	44
985	2932	41
986	2936	38
987	2937	35
988	2939	32
989	2948	29
990	2951	26
991	2953	23
992	2955	20
993	2957	17
994	2959	14
995	2964	11
996	2965	8
997	2967	5
998	2969	2
999	2971	0
